Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,64,4928,3792,2257,336,848,36,288,1246,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source,64,4928,3792,2257,336,848,36,288,1246,0,0
